Country;Region;SDGi;Life Expectancy;HDI;Per Capita GDP;Income Group;Population (millions);Cropland Footprint;Grazing Footprint;Forest Product Footprint;Carbon Footprint;Fish Footprint;Built up land;Total Ecological Footprint (Consumption);Cropland;Grazing land;Forest land;Fishing ground;Built up land;Total biocapacity ;Ecological (Deficit) or Reserve;Number of Earths required;Number of Countries required
"Korea; Democratic People's Republic of";Asia-Pacific;;73;;;LI;26;0.2;0;0.1;0.8;0;0;1.2;0.2;0;0.217929758;0.090722533;0.046666807;0.533428165;-0.66476965;0.793395326;2.246.221.504
"Korea; Republic of";Asia-Pacific;77.9;84;0.93;"$45;438 ";HI;51.3;0.7;0.2;0.2;4.2;0.5;0.1;5.8;0.1;0;0.087249585;0.383578197;0.07026965;0.64688681;-5.174.542.893;3.854.701.669;8.999.147.325
Kuwait;Middle East/Central Asia;64.5;79;0.83;"$43;613 ";HI;4.4;0.7;0.4;0.1;6.4;0.5;0.5;8.6;0;0;0.002696897;0.285763528;0.48770005;0.807349671;-7.743.805.155;5.662.208.848;1.059.163.722
Kyrgyzstan;Middle East/Central Asia;73.7;72;0.69;"$4;764 ";LI;6.7;0.5;0.2;0;0.6;0;0.1;1.5;0.5;0.5;0.098421885;0.04534529;0.073230364;125.343.204;-0.256931902;1.000.098.378;1.204.982.714
Lao People's Democratic Republic;Asia-Pacific;63.4;68;0.61;"$7;866 ";LM;7.5;0.7;0.2;0.3;0.5;0;0.2;1.9;0.7;0.1;0.609881989;0.029401418;0.195268964;1.641.909.183;-0.217734454;1.231.376.448;1.132.610.534
Latvia;EU-27;80.3;73;0.86;"$31;973 ";HI;1.8;1.8;0.2;4;1.5;0.2;0.1;7.7;2.8;0.2;4.551.672.552;2.196.984.142;0.102247668;9.930.483.467;2.205.903.606;5.114.886.273;0.777865437
Lebanon;Middle East/Central Asia;66.3;75;0.71;;UM;6.7;0.6;0.3;0.1;1.9;0.1;0.1;3.1;0.1;0;0.04789176;0.006245492;0.086278583;0.318992262;-2.826.603.856;2.082.879.159;9.861.042.076
Lesotho;Africa;55.1;53;0.51;"$2;599 ";LM;2.2;;;;;;;1.2;;;;;;0.723708258;-0.427347297;0.762179739;1.590.496.643
Liberia;Africa;49.9;61;0.48;"$1;524 ";LI;5.3;0.2;0;0.7;0.1;0.1;0;1.2;0.1;0.3;1.991.241.595;0.256777493;0.039727176;2.731.745.972;1.489.184.417;0.822771096;0.454859847
Lithuania;EU-27;75.4;74;0.88;"$39;810 ";UM;2.7;1.8;0.3;1.3;2.6;0.2;0.2;6.4;2.8;0.3;2.283.057.719;0.349368846;0.163432462;5.967.089.276;-0.461161462;4.256.512.594;1.077.284.157
Luxembourg;EU-27;75.7;83;0.93;"$120;505 ";HI;0.6;0.9;0.5;1.4;8;0.1;0.1;11;0.4;0.1;0.657103758;0.000885374;0.067119396;1.228.958.605;-973.044.912;7.256.850.877;8.917.637.809
Madagascar;Africa;50.1;64;0.5;"$1;523 ";LI;29.2;0.2;0.2;0.2;0.1;0;0.1;0.8;0.2;1;0.580164786;0.162087995;0.063442166;1.978.753.711;1.184.725.168;0.525771727;0.401277096
Malawi;Africa;53.3;63;0.51;"$1;373 ";LI;20.2;0.4;0.1;0.2;0;0;0.1;0.7;0.4;0.1;0.012361597;0.043757689;0.088266461;0.576487738;-0.147794125;0.47958846;1.256.369.937
Malaysia;Asia-Pacific;70.4;75;0.8;"$28;180 ";UM;33.2;0.7;0.1;0.4;2.4;0.5;0.1;4.2;0.7;0;0.530150447;0.732839346;0.128678809;2.062.303.764;-218.007.516;2.809.121.806;2.057.106.716
Mali;Africa;54.1;59;0.43;"$2;206 ";LI;21.5;0.3;0.4;0.1;0.1;0;0.1;1;0.4;0.5;0.433902546;0.032660782;0.052643001;1.368.689.788;0.367915862;0.662669674;0.731191198
Malta;EU-27;76.8;83;0.92;"$46;806 ";HI;0.4;;;;;;;3.7;;;;;;0.467363732;-3.254.616.382;246.453.598;7.963.776.091
Martinique;Central America/Caribbean;;;;;;0.4;;;;;;;3.5;;;;;;0.510104348;-2.992.698.262;2.319.406.014;6.866.835.435
Mauritania;Africa;55.8;64;0.56;"$5;927 ";LM;4.9;0.4;1.3;0.2;0.4;0;0;2.3;0.1;2.4;0.049552859;1.116.999.731;0.029604019;3.653.577.326;1.397.169.821;1.494.096.505;0.617588545
Mauritius;Africa;68.4;74;0.8;"$21;450 ";UM;1.3;;;;;;;2.6;;;;;;0.675477406;-1.928.109.761;1.723.984.022;3.854.440.052
Mexico;North America;70.2;70;0.76;"$19;028 ";UM;131.6;0.5;0.2;0.3;1.1;0.1;0.1;2.3;0.3;0.2;0.427634638;0.132918606;0.082561173;1.202.798.995;-1.082.430.614;1.513.181.269;1.899.926.437
Mongolia;Asia-Pacific;63.5;71;0.74;"$11;435 ";LM;3.4;0.6;4.7;0.1;2.2;0;0;7.7;0.4;6.8;6.197.277.782;0.074457563;0.015806037;1.351.424.822;580.652.981;510.372.134;0.570340154
Montenegro;Other Europe;68.8;74;0.83;"$21;308 ";UM;0.6;0.5;0.4;1.1;1.3;0.1;0.3;3.7;0;0.3;1.925.736.937;0.248617634;0.27905659;2.828.793.864;-0.821806374;241.727.128;1.290.514.761
Morocco;Africa;69;74;0.68;"$7;744 ";LM;37.8;0.5;0.2;0.1;0.6;0.1;0;1.5;0.2;0.2;0.084511722;0.065308994;0.031137202;0.565398289;-0.979869888;102.321.047;2.733.061.291
Mozambique;Africa;53.6;59;0.45;"$1;232 ";LI;33.1;0.2;0.1;0.2;0.2;0;0;0.8;0.2;0.6;0.433448963;0.12872671;0.047797027;1.385.576.072;0.614345946;0.510675591;0.55661334
Myanmar;Asia-Pacific;64.3;66;0.59;"$4;090 ";LI;55.2;0.4;0;0.3;0.2;0;0.1;1.1;0.5;0;0.499646595;0.281436417;0.057071596;1.362.234.437;0.248014203;0.737788965;0.817935741
Namibia;Africa;62.7;59;0.62;"$8;949 ";UM;2.6;0.3;0.8;0.3;0.9;0;0;2.4;0.1;1.4;0.289487076;4.240.215.963;0.018877714;6.122.942.025;3.737.652.781;1.579.436.478;0.389565871
Nepal;Asia-Pacific;66.2;68;0.6;"$3;921 ";LI;30.2;0.3;0.1;0.2;0.3;0;0.1;0.9;0.2;0;0.086229445;0.004625979;0.100555424;0.390028925;-0.51042717;0.596243498;2.308.690.555
Netherlands;EU-27;79.9;81;0.94;"$58;732 ";HI;17.2;;;;;;;6;;;;;;1.113.508.517;-4.908.468.884;3.987.495.773;5.408.110.768
New Zealand;Asia-Pacific;78.3;82;0.94;"$43;178 ";HI;4.9;;;;;;;5.4;;;;;;8.447.231.686;3.021.001.811;3.593.017.251;0.642367828
